status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,"Développeur logiciel stagiaire, doctorat, été 2025",Google,"Waterloo, ON",2024-10-09,"Les candidatures seront examinées sur une base continue; les candidats ont donc intérêt à postuler rapidement. La période de dépôt des candidatures prévue est ouverte jusqu'au28 février 2025, mais…","Job types: Full-time
 Internship / Co-op
Job types cc: Full-time
 Internship / Co-op",https://www.indeed.ca/m/viewjob?jk=de9a88afa9d120c3,IndeedScraperCANEng_de9a88afa9d120c3,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,ETL Test Lead,Atlantis IT group,"Waterloo, ON",2024-10-19,"GCP and GCP functionalities like running DAGs, troubleshooting when there is a failure, console, and all other features present in GCP tool. Complex query writing, procedures, routines in Big Query.",,https://www.indeed.ca/m/viewjob?jk=28eaa3968a04b8d9,IndeedScraperCANEng_28eaa3968a04b8d9,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Senior .Net Developer,"Cloud DX, Inc.","Kitchener, ON",2024-09-30,"Given the recent events with social distancing and stay-at-home measures, our technology allows healthcare workers to provide patient-centric care across North America. NET Core, Node, Python or Go.",Job types cc: Permanent,https://www.indeed.ca/m/viewjob?jk=e2f2823379067cab,IndeedScraperCANEng_e2f2823379067cab,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,AI Engineer,Coastal Carbon,"Waterloo, ON",2024-09-28,Collaborate with researchers and scientists to implement and scale proof-of-concept (POC) models. Rapidly implement the latest state-of-the-art methods from literature.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=c492b4e06db35194,IndeedScraperCANEng_c492b4e06db35194,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,"Senior Technology Specialist, Data Developer",Equitable CA,"Waterloo, ON",2024-10-02,"Reports To: Lead Technology Manager, Data Platforms. Assist with the design, implementation, and management of cloud data warehouse systems infrastructure including: Certifications in AZ-900, DP-900.","Job types: Full-time
Remote: Hybrid work
Benefits: Company pension
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=6ced2dd3388f29ff,IndeedScraperCANEng_6ced2dd3388f29ff,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,"Software Developer Intern, BS, Summer 2025",Google,"Waterloo, ON",2024-10-09,"This internship is intended for students in their penultimate academic year, who are pursuing a Bachelor's degree program in Computer Science or a related field.","Job types: Full-time
 Internship / Co-op
Job types cc: Full-time
 Internship / Co-op",https://www.indeed.ca/m/viewjob?jk=95d568e49ff0a21c,IndeedScraperCANEng_95d568e49ff0a21c,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,IT Network Engineer (Plant Infrastructure),Recurrent Energy,"Guelph, ON",2024-09-30,"Responsible for implementing, operating, and supporting scalable network solutions. This role will also routinely review, analyze, and recommend network improvements to ensure that the Network can…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=70351eb3e4b80212,IndeedScraperCANEng_70351eb3e4b80212,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Software Developer,Verily,"Kitchener-Waterloo, ON",2024-09-30,"Our unique expertise and capabilities in technology, data science and healthcare enable the entire healthcare ecosystem to drive better health outcomes.",,https://www.indeed.ca/m/viewjob?jk=496817a554ed3609,IndeedScraperCANEng_496817a554ed3609,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Robotic Controls Software Engineer,Swap Robotics,"Kitchener, ON",2024-10-22,"Design and develop high quality, maintainable and testable code. Work closely with system architects to ensure conformity to target architecture. Interact and work closely with other teams for systems…","Job types: Full-time
Benefits: Flexible schedule
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=684f66bfcac5c5e1,IndeedScraperCANEng_684f66bfcac5c5e1,IndeedScraperCANEng,Python,CANADA_ENGLISH,$70000 - $-1 yearly,UNKNOWN
NEW,Data Analyst - Automotive Engineer,Syntronic,"Waterloo, ON",2024-09-30,"Collaborate with top-tier clients on transformative, cutting-edge projects. Engage with and learn from industry leaders. Innovate from concept to completion, ensuring high standards.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=2156f21a3dbbb268,IndeedScraperCANEng_2156f21a3dbbb268,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,AI Research Scientist,Coastal Carbon,"Waterloo, ON",2024-09-30,"Deep understanding of current machine learning research. Proven track record of generating new ideas or enhancing existing ones in machine learning, evidenced by first-author publications or projects.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=0faaf78377ec282d,IndeedScraperCANEng_0faaf78377ec282d,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Remote Coding Expertise for AI Training - Tier 2,Outlier,"Kitchener, ON",2024-10-17,"We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code. Projects typically include discrete, highly variable problems that involve…","Job types: Contract
Remote: Remote
Job types cc: Contract
 Freelance
Schedules: Overtime",https://www.indeed.ca/m/viewjob?jk=13572633ab55538b,IndeedScraperCANEng_13572633ab55538b,IndeedScraperCANEng,Python,CANADA_ENGLISH,$30 - $30 hourly,FULLY_REMOTE
NEW,Analytics Developer,Recurrent Energy,"Guelph, ON",2024-09-30,Recurrent Energy Power Services (REPS) Operations and Maintenance operates utility-scale solar plants and battery energy storage systems on five continents. Solid SQL and database skills.,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=39b3a25fc4f5a0c4,IndeedScraperCANEng_39b3a25fc4f5a0c4,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Prompt Specialist,Prompt Core,"Guelph, ON",2024-10-25,PromptCore is seeking a dynamic and innovative Prompt Specialist to join our company. They will be responsible for crafting and refining language model prompts to support our web publishing and social…,"Job types: Full-time
Remote: Hybrid work
Benefits: Extended health care
 Disability insurance
 Dental care
 Paid time off
 Work from home
 Flexible schedule
 Life insurance
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.ca/m/viewjob?jk=3da991580f962866,IndeedScraperCANEng_3da991580f962866,IndeedScraperCANEng,Python,CANADA_ENGLISH,$50000 - $50000 yearly,TEMPORARILY_REMOTE
NEW,Senior Data Engineer,Sun Life,"Waterloo, ON",2024-10-28,"The Client Experience Office (CXO) is an important pillar of Sun Life’s corporate strategy and as such, is seeking experienced data engineering individuals with a proven track record working with data…",,https://www.indeed.ca/m/viewjob?jk=8add8d1f50021c15,IndeedScraperCANEng_8add8d1f50021c15,IndeedScraperCANEng,Python,CANADA_ENGLISH,$78000 - $128000 yearly,UNKNOWN
NEW,Software Developer,Brock Solutions,"Kitchener, ON",2024-09-30,"Brock Solutions is an innovative engineering solutions and professional services company specializing in the design, build and implementation of real-time operational solutions for broad based…","Job types: Full-time
Benefits: Profit sharing
 Extended health care
 Company events
 Flexible schedule
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=b4d47260312a8960,IndeedScraperCANEng_b4d47260312a8960,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,"Senior Full Stack Developer (onsite in Cambridge, ON)",VectorVue,"Kitchener-Waterloo, ON",2024-09-30,"As a Full Stack Developer, you will be responsible for designing, developing, and maintaining software applications. Note*: This role will require onsite work 4 days a week, with the option to work…","Job types: Full-time
 Contract
Job types cc: Full-time
 Contract
Schedules: Monday to Friday",https://www.indeed.ca/m/viewjob?jk=ce1449fa72f8c5c4,IndeedScraperCANEng_ce1449fa72f8c5c4,IndeedScraperCANEng,Python,CANADA_ENGLISH,$85874.98 - $150546.23 yearly,UNKNOWN
NEW,Software Developer in Test and Automation,RideCo,"Waterloo, ON",2024-09-30,"This is an opportunity in the exciting and fast-growing transportation technology industry. Public transit is being transformed from a system of static, scheduled fixed-routes, to a dynamic on-demand…","Benefits: Casual dress
 Stock options
 Dental care
 Flextime
Schedules: Flextime",https://www.indeed.ca/m/viewjob?jk=530488e7b8aa0df2,IndeedScraperCANEng_530488e7b8aa0df2,IndeedScraperCANEng,Python,CANADA_ENGLISH,$70000 - $90000 yearly,UNKNOWN
NEW,ETL Tester @ Waterloo - Long Term Position,Atlantis IT group,"Waterloo, ON",2024-10-19,"ETL Testing Bigdata testing and tools. GCP and GCP functionalities like running DAGs, troubleshooting when there is a failure, console, and all other features present in GCP tool.",,https://www.indeed.ca/m/viewjob?jk=8455125d12d98189,IndeedScraperCANEng_8455125d12d98189,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,"Ignition Solutions Architect - JMP Solutions, a Convergix Automation Company",JMP Solutions,"Cambridge, ON",2024-09-30,"Successful applicants will be involved in every stage of the solutions implementation process including consultancy, assessment, requirement gathering and specification, solution architecting and…","Job types: Full-time
Benefits: Dental care
 Vision care
 RRSP
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=42e1552857e1e030,IndeedScraperCANEng_42e1552857e1e030,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Senior Embedded Software Developer,Nuvation Research Corporation,"Waterloo, ON",2024-09-30,"Nuvation is looking for a talented, innovative Senior Embedded Software Developer, who successfully combines architecture skills, technical expertise, and project leadership.","Job types: Full-time
Benefits: Dental care
 Vision care
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=ddb1a9e729080a32,IndeedScraperCANEng_ddb1a9e729080a32,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Lead Software Developer (Sustainability),Geotab,"Waterloo, ON",2024-10-24,"Geotab’s open platform and Geotab Marketplace ®, offering hundreds of third-party solution options, allows both small and large businesses to automate operations by integrating vehicle data with their…","Job types: Full-time
Remote: Hybrid work
Benefits: Dental care
Job types cc: Full-time
Schedules: On call",https://www.indeed.ca/m/viewjob?jk=c58dee0f2ee1db9c,IndeedScraperCANEng_c58dee0f2ee1db9c,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,Computer Vision Engineer,Ascension Automation Solutions Ltd.,"Cambridge, ON",2024-09-30,"Established in 2013, Ascension Automation Solutions are experts in the field of industrial robotics with a specialty in robotic manufacturing applications, providing everything from system design to…","Job types: Full-time
Benefits: Extended health care
 Disability insurance
 Dental care
 Paid time off
Job types cc: Full-time
Schedules: Overtime",https://www.indeed.ca/m/viewjob?jk=dc998edc2c1f48b6,IndeedScraperCANEng_dc998edc2c1f48b6,IndeedScraperCANEng,Python,CANADA_ENGLISH,$35 - $50 hourly,UNKNOWN
NEW,AI Development Specialist,Outlier,"Kitchener, ON",2024-10-17,"We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code. Projects typically include discrete, highly variable problems that involve…","Job types: Contract
Job types cc: Contract
 Freelance
Schedules: Overtime",https://www.indeed.ca/m/viewjob?jk=9cd5ad5fa038faec,IndeedScraperCANEng_9cd5ad5fa038faec,IndeedScraperCANEng,Python,CANADA_ENGLISH,$30 - $30 hourly,UNKNOWN
NEW,DevOps Engineer,Recurrent Energy,"Guelph, ON",2024-10-16,"In addition, Recurrent Energy’s services business has 6 GW of projects under operations and maintenance contracts, either operational or contracted projects. Support/implement ISO 9001 activities.","Job types: Full-time
Job types cc: Full-time
Schedules: On call",https://www.indeed.ca/m/viewjob?jk=0145a6577d70347f,IndeedScraperCANEng_0145a6577d70347f,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Senior Machine Learning Platform Engineer,Faire,"Waterloo, ON",2024-09-30,"At Faire we build elegant and efficient products to deliver superior customer experiences and enhance marketplace efficiency at the same time. From the mobile checkout process, to personalized search…",Remote: Hybrid work,https://www.indeed.ca/m/viewjob?jk=164310b76bd4465c,IndeedScraperCANEng_164310b76bd4465c,IndeedScraperCANEng,Python,CANADA_ENGLISH,$156000 - $214500 yearly,TEMPORARILY_REMOTE
NEW,Senior Data Analyst,Sun Life,"Waterloo, ON",2024-09-30,"The Growth and Performance Marketing team within Sun Life’s Client Experience Office (CXO) has embarked on a major transformation. As part of this transformation, we are continuously launching and…",Remote: Hybrid work,https://www.indeed.ca/m/viewjob?jk=5ff817054ffa75d9,IndeedScraperCANEng_5ff817054ffa75d9,IndeedScraperCANEng,Python,CANADA_ENGLISH,$78000 - $128000 yearly,TEMPORARILY_REMOTE
NEW,Air Quality Engineer,RWDI,"Guelph, ON",2024-10-18,"Planning and completing technical aspects of assigned projects, including data collection, analysis, and ensuring QA/QC procedures are followed. Conducting air dispersion modelling and meteorological…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=3896f9ddfad9e6ee,IndeedScraperCANEng_3896f9ddfad9e6ee,IndeedScraperCANEng,Python,CANADA_ENGLISH,$60000 - $80000 yearly,UNKNOWN
NEW,Test Engineer General,Altair Engineering,"Waterloo, ON",2024-10-16,"Our client in Waterloo, ON is looking for a Test Engineer General. The successful candidate will be part of the Test Automation & Tools Development team involved in the delivery of the latest…","Benefits: Designated paid holidays
 Paid time off",https://www.indeed.ca/m/viewjob?jk=0bd521783845fbe4,IndeedScraperCANEng_0bd521783845fbe4,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
